epoch,acc,loss,val_acc,val_loss
0,0.8333333730697632,2.127037763595581,0.833333432674408,0.8680079579353333
1,0.8333333730697632,0.8435098528862,0.833333432674408,0.7254068851470947
2,0.8333333730697632,0.8050301671028137,0.833333432674408,0.7061928510665894
3,0.8333333730697632,0.7405104041099548,0.833333432674408,0.6968892216682434
4,0.8333333730697632,0.7290511131286621,0.833333432674408,0.6856394410133362
5,0.8333333730697632,0.7071042060852051,0.833333432674408,0.6787112355232239
6,0.8333333730697632,0.6936110258102417,0.833333432674408,0.671467661857605
7,0.8333333730697632,0.6762717366218567,0.833333432674408,0.6617574691772461
8,0.8333333730697632,0.6720259785652161,0.833333432674408,0.6398444175720215
9,0.8333333730697632,0.6624548435211182,0.833333432674408,0.6325559616088867
10,0.8333333730697632,0.6502063274383545,0.833333432674408,0.6268712878227234
11,0.8333333730697632,0.647842526435852,0.833333432674408,0.6216928958892822
12,0.8333333730697632,0.6436804533004761,0.833333432674408,0.6158608198165894
13,0.8333333730697632,0.6268771290779114,0.833333432674408,0.6110602021217346
14,0.8333333730697632,0.623233437538147,0.833333432674408,0.6064992547035217
15,0.8333333730697632,0.6171478033065796,0.833333432674408,0.6019829511642456
16,0.8333333730697632,0.612060546875,0.833333432674408,0.597483217716217
17,0.8333333730697632,0.6078070998191833,0.833333432674408,0.5930707454681396
18,0.8333333730697632,0.6081283688545227,0.833333432674408,0.5886554718017578
19,0.8333333730697632,0.5953196883201599,0.833333432674408,0.5844137072563171
20,0.8333333730697632,0.5941205620765686,0.833333432674408,0.5801020860671997
